Theta,Phi,Psi,Px,Py,Pz,ActuatorLengths_1,ActuatorLengths_2,ActuatorLengths_3,ActuatorLengths_4,ActuatorLengths_5,ActuatorLengths_6
-45,-15,-45,-2.5,1.5,-2.5,5.719217217,5.361486558,4.602203199,4.788584954,6.407276384,6.765067056
-45,-15,-45,-2.5,1.5,1.5,5.984648376,3.816349268,1.270890185,3.642896702,7.041672594,7.829431313
-45,-15,-45,-2.5,1.5,5.5,8.399226907,5.617081415,3.541133619,5.779253626,9.530113099,10.2296145
-45,-15,-45,-2.5,1.5,9.5,11.4980401,8.822711659,7.568980684,9.301393859,12.39994802,13.54893741
-45,-15,-45,-0.5,-2.5,-2.5,6.164233723,7.922731663,7.24883326,4.052149938,2.356265017,3.637418468
-45,-15,-45,-0.5,-2.5,1.5,6.201270615,6.791647316,5.620334193,2.61184415,3.445846704,5.149070665
-45,-15,-45,-0.5,-2.5,5.5,8.421369952,8.048032177,6.40786032,5.323736953,7.048375515,8.426647002
-45,-15,-45,-0.5,-2.5,9.5,11.90640013,10.9607796,8.993429588,9.432014547,11.35066829,12.24419702
-45,-15,-45,-0.5,-0.5,-2.5,4.600352044,6.184055042,6.136993675,4.324496247,4.069882807,4.127707234
-45,-15,-45,-0.5,-0.5,1.5,4.892138429,4.978267616,3.949141127,2.968384948,4.848138151,5.535937369
-45,-15,-45,-0.5,-0.5,5.5,7.517626373,6.527238208,5.169654648,5.56901339,7.937843822,8.72179108
-45,-15,-45,-0.5,-0.5,9.5,11.79063738,9.462633844,8.075432263,9.486183371,11.6975482,12.21385238
-45,-15,-45,-0.5,1.5,-2.5,4.066269004,4.900685527,5.436466024,5.34624232,5.925282004,5.128031249
-45,-15,-45,-0.5,1.5,1.5,4.141075911,2.862843031,2.852783881,4.350222198,6.7883126,6.58192996
-45,-15,-45,-0.5,1.5,5.5,7.203263352,5.01618911,4.403083054,6.274236743,9.188826644,9.197994363
-45,-15,-45,-0.5,1.5,9.5,10.78189443,8.523844638,7.908509743,9.605350102,12.17624417,12.91734147
-45,-15,-45,1.5,-2.5,-2.5,5.04055565,8.132984085,8.104041217,5.570143263,2.462139564,1.665991014
-45,-15,-45,1.5,-2.5,1.5,5.453148989,7.212587737,6.821437515,4.513773475,3.713313134,4.020661584
-45,-15,-45,1.5,-2.5,5.5,7.898920479,8.082574313,7.429324757,6.486914429,7.2078916,7.941018895
-45,-15,-45,1.5,-2.5,9.5,11.8109674,10.53661323,9.948304176,9.568126728,11.3720571,12.05118403
-45,-15,-45,1.5,-0.5,-2.5,3.307716907,6.673778424,7.01792572,5.761537446,4.342234988,2.476701434
-45,-15,-45,1.5,-0.5,1.5,3.854892005,5.404023592,5.469643514,4.616479332,4.996661325,4.342960729
-45,-15,-45,1.5,-0.5,5.5,6.839669107,6.479475439,6.370488594,6.906788873,7.926969435,8.006521556
-45,-15,-45,1.5,-0.5,9.5,10.89460113,9.813006304,9.193867375,10.08473161,11.80736156,11.84097303
-45,-15,-45,1.5,1.5,-2.5,2.335483831,5.095090671,6.512226279,6.63773585,6.151022017,4.16729871
-45,-15,-45,1.5,1.5,1.5,2.768206456,3.391148122,4.764751849,5.757095442,6.727528019,5.552455153
-45,-15,-45,1.5,1.5,5.5,6.381888867,5.364727363,5.888927498,7.331354281,9.455723665,8.696715879
-45,-15,-45,1.5,1.5,9.5,10.35067562,8.640871234,8.591598638,10.25121915,12.52418741,12.71435964
-45,-15,-15,-2.5,-2.5,-2.5,6.021743358,7.387416899,6.860701233,3.571295806,2.637563656,4.57878132
-45,-15,-15,-2.5,-2.5,1.5,6.225270654,6.027358236,4.789729156,1.942407428,3.745851516,5.886664787
-45,-15,-15,-2.5,-2.5,5.5,8.352640573,7.205851488,5.94202169,5.14652539,7.490570845,8.678999957
-45,-15,-15,-2.5,-2.5,9.5,11.49670956,9.93708365,8.77607311,8.811041669,11.39165793,12.21155252
-45,-15,-15,-2.5,-0.5,-2.5,5.010773505,5.922560444,5.569134749,3.255410461,3.557949441,4.880203661
-45,-15,-15,-2.5,-0.5,1.5,5.224162904,4.445109249,2.958475703,0.824832864,4.362264909,6.047645582
-45,-15,-15,-2.5,-0.5,5.5,7.900773922,6.23752967,4.450193453,4.73508814,7.874739791,8.926924217
-45,-15,-15,-2.5,-0.5,9.5,11.30357559,9.468014932,8.065430865,8.838543262,11.51627614,12.51933198
-45,-15,-15,-2.5,1.5,-2.5,5.125674519,4.893687628,4.799795979,4.004584922,5.336341649,5.886668293
-45,-15,-15,-2.5,1.5,1.5,5.332668011,3.128354249,1.123588621,2.388521541,6.031383082,6.973795082
-45,-15,-15,-2.5,1.5,5.5,7.837008575,5.181371242,3.44809539,5.27929532,8.560111112,9.679708746
